1,303,287,167,188
6,756,1577,1547,1569
4,401,3032,2542,504
0,192,4545,3825,778
15,1594,3360,3260,3359
2,410,5406,4966,1242
3,439,5652,5432,1340
20,2010,4712,4702,4708
5,584,6447,6237,1326
7,878,7385,6575,1616
25,2760,5676,5476,5676
24,2683,5840,5830,5593
29,3160,6212,6012,6212
8,1029,9814,8884,2696
11,1146,10296,9386,2510
9,940,10883,10843,2554
10,1011,11015,10455,3265
14,1449,11646,11196,3479
13,1477,11900,11690,3602
12,1493,13393,11913,3681
16,1821,13647,13277,4565
17,1818,15108,13688,4851
18,1917,15567,15037,4809
19,2156,15492,15462,4964
21,2258,15875,15455,4963
22,2376,16090,15870,4966
23,2578,16047,15907,5651
28,2917,16215,15725,5474
27,2722,17477,16647,5907
26,2666,17781,17531,6026
