2,444,148,-1714671964014
17,1703,4081,-1714671964502
32,3209,703,-1714671966808
61,6128,530,-1714671964108
66,6860,341,-1714671963994
73,7543,27,-1714671963999
37,3803,1980,-1714671966325
28,3025,5116,-1714671964294
9,960,6752,-1714671965145
56,5675,2940,-1714671964496
13,1475,6937,-1714671964879
80,8164,1224,-1714671964007
48,5082,4196,-1714671964688
51,5149,3909,-1714671965009
71,7280,2856,-1714671964177
88,8912,1824,-1714671963994
79,7903,5047,-1714671964131
7,950,11244,-1714671965188
16,1655,12826,-1714671964648
29,3113,9328,-1714671966888
19,2164,13240,-1714671964641
25,2672,11177,-1714671967055
78,7993,9134,-1714671964133
81,8190,10051,-1714671963996
89,8938,9892,-1714671964000
36,3672,13153,-1714671966455
5,640,18825,-1714671964081
46,4829,13524,-1714671965325
49,4987,13653,-1714671965168
3,466,19721,-1714671964010
65,6623,13829,-1714671964051
86,8720,12320,-1714671963998
83,8526,12913,-1714671963989
99,9980,11924,-1714671963993
69,7013,15111,-1714671964041
85,8719,13577,-1714671964001
18,1996,19276,-1714671965323
6,606,21997,-1714671964144
33,3507,17061,-1714671966462
68,7016,16225,-1714671964006
76,7833,15807,-1714671964255
94,9437,14677,-1714671963996
91,9229,15299,-1714671963996
26,2719,19237,-1714671967024
62,6335,18878,-1714671963999
60,6233,19108,-1714671964086
97,9707,16413,-1714671963992
98,10011,16572,-1714671963996
10,1257,24839,-1714671964929
22,2328,21699,-1714671967247
95,9617,17888,-1714671963992
67,6746,20958,-1714671963996
15,1654,25350,-1714671964906
30,3119,22641,-1714671966883
39,3904,23387,-1714671965970
8,1079,27694,-1714671964797
1,335,29440,-1714671964098
4,613,29702,-1714671964057
58,6019,24754,-1714671964216
44,4450,25521,-1714671965691
0,39,32278,-1714671964120
82,8450,24337,-1714671963994
72,7331,25638,-1714671964155
14,1543,31079,-1714671964807
55,5522,28040,-1714671964180
63,6517,27399,-1714671964127
75,7652,26253,-1714671964452
11,1390,32451,-1714671964833
38,3934,28926,-1714671966202
41,4205,29302,-1714671965931
35,3594,29834,-1714671966312
34,3647,31070,-1714671966260
59,5916,31216,-1714671964287
52,5252,31584,-1714671964907
31,3220,32037,-1714671966797
27,2828,32600,-1714671967139
96,9792,29882,-1714671963994
84,8510,31714,-1714671963994
23,2458,35143,-1714671967201
74,7445,33858,-1714671964027
42,4460,36060,-1714671965327
43,4592,36395,-1714671965550
92,9363,33798,-1714671963993
64,6606,37003,-1714671964068
54,5553,38029,-1714671964608
53,5422,38981,-1714671964321
24,2650,39525,-1714671967068
47,4800,39971,-1714671964973
93,9484,36771,-1714671963992
45,4745,40611,-1714671965406
70,7223,39810,-1714671964249
90,9098,38706,-1714671963994
40,4290,42161,-1714671965847
50,5151,42645,-1714671965007
57,5922,43114,-1714671964282
12,1318,47678,-1714671964884
20,2136,47490,-1714671964839
87,8918,42127,-1714671964004
77,7975,43456,-1714671964148
21,2226,49399,-1714671964468
